"","local_authority","phase_type","affordability","number_developments","rurality","housing_type","himidlow","number_beds","pupil_yield"
"76","LA05","AP","market.housing","Total","Total","Total","Total","Total",0
"77","LA05","EY","affordable.housing","Total","Total","Total","Total","Total",0.3351
"78","LA05","EY","market.housing","Total","Total","Total","Total","Total",0.016
"79","LA05","FE","affordable.housing","Total","Total","Total","Total","Total",0.117
"80","LA05","FE","market.housing","Total","Total","Total","Total","Total",0.016
"81","LA05","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",0.9947
"82","LA05","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.0851
"83","LA05","PRU","affordable.housing","Total","Total","Total","Total","Total",0.0053
"84","LA05","PRU","market.housing","Total","Total","Total","Total","Total",0
"85","LA05","PS","affordable.housing","Total","Total","Total","Total","Total",0.4043
"86","LA05","PS","market.housing","Total","Total","Total","Total","Total",0.0266
"87","LA05","SEN","affordable.housing","Total","Total","Total","Total","Total",0.0213
"88","LA05","SEN","market.housing","Total","Total","Total","Total","Total",0
"89","LA05","SS","affordable.housing","Total","Total","Total","Total","Total",0.1489
"90","LA05","SS","market.housing","Total","Total","Total","Total","Total",0.0266
"91","LA06","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.442
"92","LA06","All Phases","market.housing","Total","Total","Total","Total","Total",0.8805
"93","LA06","AP","affordable.housing","Total","Total","Total","Total","Total",0.0039
"94","LA06","AP","market.housing","Total","Total","Total","Total","Total",6e-04
"95","LA06","EY","affordable.housing","Total","Total","Total","Total","Total",0.5939
"96","LA06","EY","market.housing","Total","Total","Total","Total","Total",0.3825
"97","LA06","FE","affordable.housing","Total","Total","Total","Total","Total",0.1256
"98","LA06","FE","market.housing","Total","Total","Total","Total","Total",0.0824
"99","LA06","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.4066
"100","LA06","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.8732
"101","LA06","PRU","affordable.housing","Total","Total","Total","Total","Total",0.005
"102","LA06","PRU","market.housing","Total","Total","Total","Total","Total",0
"103","LA06","PS","affordable.housing","Total","Total","Total","Total","Total",0.507
"104","LA06","PS","market.housing","Total","Total","Total","Total","Total",0.2748
"105","LA06","SEN","affordable.housing","Total","Total","Total","Total","Total",0.0353
"106","LA06","SEN","market.housing","Total","Total","Total","Total","Total",0.0073
"107","LA06","SS","affordable.housing","Total","Total","Total","Total","Total",0.2058
"108","LA06","SS","market.housing","Total","Total","Total","Total","Total",0.138
"109","LA07","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.7368
"110","LA07","All Phases","market.housing","Total","Total","Total","Total","Total",2.3684
"111","LA07","AP","affordable.housing","Total","Total","Total","Total","Total",0
"112","LA07","AP","market.housing","Total","Total","Total","Total","Total",0
"113","LA07","EY","affordable.housing","Total","Total","Total","Total","Total",0.7895
"114","LA07","EY","market.housing","Total","Total","Total","Total","Total",0.8421
"115","LA07","FE","affordable.housing","Total","Total","Total","Total","Total",0.3158
"116","LA07","FE","market.housing","Total","Total","Total","Total","Total",0.3684
"117","LA07","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.6316
"118","LA07","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",2.3684
"119","LA07","PRU","affordable.housing","Total","Total","Total","Total","Total",0
"120","LA07","PRU","market.housing","Total","Total","Total","Total","Total",0
"121","LA07","PS","affordable.housing","Total","Total","Total","Total","Total",0.3158
"122","LA07","PS","market.housing","Total","Total","Total","Total","Total",0.6316
"123","LA07","SEN","affordable.housing","Total","Total","Total","Total","Total",0.1053
"124","LA07","SEN","market.housing","Total","Total","Total","Total","Total",0
"125","LA07","SS","affordable.housing","Total","Total","Total","Total","Total",0.3158
"126","LA07","SS","market.housing","Total","Total","Total","Total","Total",0.5263
"127","LA08","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.2297
"128","LA08","All Phases","market.housing","Total","Total","Total","Total","Total",0.8108
"129","LA08","AP","affordable.housing","Total","Total","Total","Total","Total",0.0045
"130","LA08","AP","market.housing","Total","Total","Total","Total","Total",0
"131","LA08","EY","affordable.housing","Total","Total","Total","Total","Total",0.4459
"132","LA08","EY","market.housing","Total","Total","Total","Total","Total",0.2613
"133","LA08","FE","affordable.housing","Total","Total","Total","Total","Total",0.0991
"134","LA08","FE","market.housing","Total","Total","Total","Total","Total",0.0766
"135","LA08","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.1847
"136","LA08","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.7928
"137","LA08","PRU","affordable.housing","Total","Total","Total","Total","Total",0
"138","LA08","PRU","market.housing","Total","Total","Total","Total","Total",0
"139","LA08","PS","affordable.housing","Total","Total","Total","Total","Total",0.4595
"140","LA08","PS","market.housing","Total","Total","Total","Total","Total",0.2477
"141","LA08","SEN","affordable.housing","Total","Total","Total","Total","Total",0.045
"142","LA08","SEN","market.housing","Total","Total","Total","Total","Total",0.018
"143","LA08","SS","affordable.housing","Total","Total","Total","Total","Total",0.2207
"144","LA08","SS","market.housing","Total","Total","Total","Total","Total",0.2252
"145","LA09","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.9578
"146","LA09","All Phases","market.housing","Total","Total","Total","Total","Total",1.0783
"147","LA09","AP","affordable.housing","Total","Total","Total","Total","Total",0.006
"148","LA09","AP","market.housing","Total","Total","Total","Total","Total",0
"149","LA09","EY","affordable.housing","Total","Total","Total","Total","Total",0.6325
"150","LA09","EY","market.housing","Total","Total","Total","Total","Total",0.5
"151","LA09","FE","affordable.housing","Total","Total","Total","Total","Total",0.1084
"152","LA09","FE","market.housing","Total","Total","Total","Total","Total",0.0783
"153","LA09","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.8855
"154","LA09","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",1.0783
"155","LA09","PRU","affordable.housing","Total","Total","Total","Total","Total",0.0241
"156","LA09","PRU","market.housing","Total","Total","Total","Total","Total",0
"157","LA09","PS","affordable.housing","Total","Total","Total","Total","Total",0.8253
"158","LA09","PS","market.housing","Total","Total","Total","Total","Total",0.3554
"159","LA09","SEN","affordable.housing","Total","Total","Total","Total","Total",0.0723
"160","LA09","SEN","market.housing","Total","Total","Total","Total","Total",0
"161","LA09","SS","affordable.housing","Total","Total","Total","Total","Total",0.3614
"162","LA09","SS","market.housing","Total","Total","Total","Total","Total",0.1446
"163","LA10","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.3008
"164","LA10","All Phases","market.housing","Total","Total","Total","Total","Total",0.3173
"165","LA10","AP","affordable.housing","Total","Total","Total","Total","Total",0.009
"166","LA10","AP","market.housing","Total","Total","Total","Total","Total",0
"167","LA10","EY","affordable.housing","Total","Total","Total","Total","Total",0.6451
"168","LA10","EY","market.housing","Total","Total","Total","Total","Total",0.1549
"169","LA10","FE","affordable.housing","Total","Total","Total","Total","Total",0.0662
"170","LA10","FE","market.housing","Total","Total","Total","Total","Total",0.0226
"171","LA10","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.2677
"172","LA10","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.3158
"173","LA10","PRU","affordable.housing","Total","Total","Total","Total","Total",0
"174","LA10","PRU","market.housing","Total","Total","Total","Total","Total",0
"175","LA10","PS","affordable.housing","Total","Total","Total","Total","Total",0.415
"176","LA10","PS","market.housing","Total","Total","Total","Total","Total",0.0977
"177","LA10","SEN","affordable.housing","Total","Total","Total","Total","Total",0.0331
"178","LA10","SEN","market.housing","Total","Total","Total","Total","Total",0.0015
"179","LA10","SS","affordable.housing","Total","Total","Total","Total","Total",0.1639
"180","LA10","SS","market.housing","Total","Total","Total","Total","Total",0.0421
"181","LA11","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.1538
"182","LA11","All Phases","market.housing","Total","Total","Total","Total","Total",0.5641
"183","LA11","AP","affordable.housing","Total","Total","Total","Total","Total",0
"184","LA11","AP","market.housing","Total","Total","Total","Total","Total",0
"185","LA11","EY","affordable.housing","Total","Total","Total","Total","Total",0.5641
"186","LA11","EY","market.housing","Total","Total","Total","Total","Total",0.1538
"187","LA11","FE","affordable.housing","Total","Total","Total","Total","Total",0.1154
"188","LA11","FE","market.housing","Total","Total","Total","Total","Total",0.0769
"189","LA11","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.141
"190","LA11","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.5641
"191","LA11","PRU","affordable.housing","Total","Total","Total","Total","Total",0
"192","LA11","PRU","market.housing","Total","Total","Total","Total","Total",0
"193","LA11","PS","affordable.housing","Total","Total","Total","Total","Total",0.3462
"194","LA11","PS","market.housing","Total","Total","Total","Total","Total",0.1282
