"","local_authority","phase_type","affordability","number_developments","rurality","housing_type","himidlow","number_beds","pupil_yield"
"1024","LA01","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0035
"1025","LA01","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1026","LA01","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0.0017
"1027","LA01","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.6007
"1028","LA01","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.2959
"1029","LA01","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.3311
"1030","LA01","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0353
"1031","LA01","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.0051
"1032","LA01","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0166
"1033","LA01","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.2297
"1034","LA01","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.148
"1035","LA01","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1093
"1036","LA02","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.5841
"1037","LA02","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.8
"1038","LA02","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",1.1843
"1039","LA02","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0177
"1040","LA02","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1041","LA02","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1042","LA02","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.1947
"1043","LA02","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.3
"1044","LA02","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.4392
"1045","LA02","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0531
"1046","LA02","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.1
"1047","LA02","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.098
"1048","LA02","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.5398
"1049","LA02","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.8
"1050","LA02","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",1.1608
"1051","LA02","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1052","LA02","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1053","LA02","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0.0039
"1054","LA02","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.2124
"1055","LA02","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.2
"1056","LA02","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.451
"1057","LA02","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0442
"1058","LA02","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1059","LA02","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0235
"1060","LA02","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.1062
"1061","LA02","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.2
"1062","LA02","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1922
"1063","LA03","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.7667
"1064","LA03","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1065","LA03","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",1.0982
"1066","LA03","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1067","LA03","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1068","LA03","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0.0052
"1069","LA03","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.3917
"1070","LA03","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1071","LA03","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.5504
"1072","LA03","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0583
"1073","LA03","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1074","LA03","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.1085
"1075","LA03","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.7417
"1076","LA03","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1077","LA03","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",1.0853
"1078","LA03","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1079","LA03","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1080","LA03","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1081","LA03","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.1917
"1082","LA03","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1083","LA03","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.2972
"1084","LA03","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.025
"1085","LA03","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1086","LA03","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0129
"1087","LA03","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.125
"1088","LA03","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1089","LA03","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.137
"1090","LA04","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1091","LA04","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1092","LA04","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",1.1332
"1093","LA04","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1094","LA04","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1095","LA04","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1096","LA04","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1097","LA04","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1098","LA04","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.5299
"1099","LA04","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1100","LA04","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1101","LA04","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.087
"1102","LA04","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1103","LA04","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1104","LA04","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",1.1141
"1105","LA04","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1106","LA04","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1107","LA04","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1108","LA04","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1109","LA04","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1110","LA04","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.3533
"1111","LA04","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1112","LA04","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1113","LA04","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.019
"1114","LA04","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1115","LA04","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1116","LA04","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.163
"1117","LA05","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1118","LA05","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1119","LA05","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",1.0197
"1120","LA05","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1121","LA05","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1122","LA05","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0.0049
"1123","LA05","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1124","LA05","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1125","LA05","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.3251
"1126","LA05","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1127","LA05","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1128","LA05","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.1232
"1129","LA05","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1130","LA05","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1131","LA05","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",1
"1132","LA05","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1133","LA05","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1134","LA05","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0.0049
"1135","LA05","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1136","LA05","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1137","LA05","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.399
"1138","LA05","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1139","LA05","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1140","LA05","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0197
"1141","LA05","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1142","LA05","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1143","LA05","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1626
"1144","LA06","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",1.1677
"1145","LA06","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",1.1065
"1146","LA06","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",0.9909
"1147","LA06","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0047
"1148","LA06","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.0024
"1149","LA06","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0.0013
"1150","LA06","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.4767
"1151","LA06","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.4019
"1152","LA06","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.4255
"1153","LA06","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0901
"1154","LA06","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.0799
"1155","LA06","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.0947
"1156","LA06","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",1.1366
"1157","LA06","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",1.0896
"1158","LA06","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",0.9743
"1159","LA06","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0016
"1160","LA06","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.0024
"1161","LA06","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0.0023
"1162","LA06","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.4208
"1163","LA06","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.4019
"1164","LA06","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.3227
"1165","LA06","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0311
"1166","LA06","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.0169
"1167","LA06","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0166
"1168","LA06","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.1739
"1169","LA06","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.2082
"1170","LA06","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1441
"1171","LA07","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1172","LA07","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1173","LA07","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",0.5852
"1174","LA07","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1175","LA07","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1176","LA07","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1177","LA07","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1178","LA07","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1179","LA07","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.237
"1180","LA07","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1181","LA07","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1182","LA07","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.0963
"1183","LA07","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1184","LA07","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1185","LA07","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",0.5704
"1186","LA07","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1187","LA07","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1188","LA07","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1189","LA07","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1190","LA07","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1191","LA07","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1333
"1192","LA07","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1193","LA07","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1194","LA07","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0148
"1195","LA07","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1196","LA07","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1197","LA07","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1185
"1198","LA08","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",1.4659
"1199","LA08","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1200","LA08","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",0.8758
"1201","LA08","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0114
"1202","LA08","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1203","LA08","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0.0022
"1204","LA08","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.5
"1205","LA08","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1206","LA08","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.2905
"1207","LA08","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.1023
"1208","LA08","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1209","LA08","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.0776
"1210","LA08","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",1.4432
"1211","LA08","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1212","LA08","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",0.8448
"1213","LA08","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1214","LA08","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1215","LA08","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1216","LA08","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.625
"1217","LA08","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1218","LA08","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.3038
"1219","LA08","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.0227
"1220","LA08","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1221","LA08","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.031
"1222","LA08","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0.2273
"1223","LA08","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1224","LA08","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.2018
"1225","LA09","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1226","LA09","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1227","LA09","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",1.2053
"1228","LA09","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1229","LA09","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1230","LA09","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0.0024
"1231","LA09","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1232","LA09","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1233","LA09","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.4487
"1234","LA09","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1235","LA09","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1236","LA09","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.074
"1237","LA09","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1238","LA09","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1239","LA09","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",1.1766
"1240","LA09","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1241","LA09","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1242","LA09","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0.0095
"1243","LA09","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1244","LA09","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1245","LA09","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.4678
"1246","LA09","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1247","LA09","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1248","LA09","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0286
"1249","LA09","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1250","LA09","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1251","LA09","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.2029
"1252","LA10","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1253","LA10","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1254","LA10","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",0.9596
"1255","LA10","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1256","LA10","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1257","LA10","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0.0048
"1258","LA10","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1259","LA10","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1260","LA10","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.4701
"1261","LA10","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1262","LA10","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1263","LA10","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.0517
"1264","LA10","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1265","LA10","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1266","LA10","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",0.941
"1267","LA10","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1268","LA10","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1269","LA10","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1270","LA10","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1271","LA10","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1272","LA10","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.3045
"1273","LA10","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1274","LA10","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1275","LA10","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0186
"1276","LA10","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1277","LA10","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1278","LA10","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1276
"1279","LA11","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1280","LA11","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1281","LA11","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",0.9722
"1282","LA11","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1283","LA11","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1284","LA11","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1285","LA11","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1286","LA11","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1287","LA11","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.3889
"1288","LA11","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1289","LA11","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1290","LA11","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.1042
"1291","LA11","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1292","LA11","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1293","LA11","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",0.9653
"1294","LA11","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1295","LA11","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1296","LA11","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1297","LA11","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1298","LA11","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1299","LA11","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.2847
"1300","LA11","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1301","LA11","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1302","LA11","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0069
"1303","LA11","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1304","LA11","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1305","LA11","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1944
"1306","LA12","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1307","LA12","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1308","LA12","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",1.0777
"1309","LA12","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1310","LA12","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1311","LA12","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0.0029
"1312","LA12","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1313","LA12","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1314","LA12","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.409
"1315","LA12","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1316","LA12","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1317","LA12","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.0747
"1318","LA12","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1319","LA12","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1320","LA12","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",1.06
"1321","LA12","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1322","LA12","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1323","LA12","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0.001
"1324","LA12","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1325","LA12","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1326","LA12","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.4307
"1327","LA12","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1328","LA12","SEN","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1329","LA12","SEN","Total","Total","Urban.city.and.town","Total","Total","Total",0.0177
"1330","LA12","SS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1331","LA12","SS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1332","LA12","SS","Total","Total","Urban.city.and.town","Total","Total","Total",0.1593
"1333","LA13","All Phases","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1334","LA13","All Phases","Total","Total","Rural.village.and.dispersed","Total","Total","Total",1.4659
"1335","LA13","All Phases","Total","Total","Urban.city.and.town","Total","Total","Total",0.8178
"1336","LA13","AP","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1337","LA13","AP","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1338","LA13","AP","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1339","LA13","EY","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1340","LA13","EY","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.5455
"1341","LA13","EY","Total","Total","Urban.city.and.town","Total","Total","Total",0.3111
"1342","LA13","FE","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1343","LA13","FE","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.1023
"1344","LA13","FE","Total","Total","Urban.city.and.town","Total","Total","Total",0.1333
"1345","LA13","MAINSTREAM","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1346","LA13","MAINSTREAM","Total","Total","Rural.village.and.dispersed","Total","Total","Total",1.4432
"1347","LA13","MAINSTREAM","Total","Total","Urban.city.and.town","Total","Total","Total",0.8089
"1348","LA13","PRU","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1349","LA13","PRU","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0
"1350","LA13","PRU","Total","Total","Urban.city.and.town","Total","Total","Total",0
"1351","LA13","PS","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
"1352","LA13","PS","Total","Total","Rural.village.and.dispersed","Total","Total","Total",0.5455
"1353","LA13","PS","Total","Total","Urban.city.and.town","Total","Total","Total",0.2578
"1354","LA13","SEN","Total","Total","Rural.town.and.fringe","Total","Total","Total",0
