programmer_friendly_names,user_friendly_names
AcademicYear,Academic Year
LTLA22NM,LA/District/County/Unitary Name
SENprovision_Name,SEN Type
geographic_level,Geographic Level
SEN_Type_Count,Number of pupils with SEN
TotalPupils,Total number of pupils
Percentage,Percentage of pupils with SEN
